uni_cod,facolta,materia_ssd_cod,materia_nome,insegnamento_prof,insegnamento_prof_www,prof_id,insegnamento_id,email,indirizzo,citta,telefono,note,isbn,titolo,data
uniroma1,,BIO/03,ELEMENTI DI CHIMICA ED ECOLOGIA,Andrea Ceci,https://www.uniroma1.it/user/8588,82664,1142494,,,,,,,,
uniroma1,,BIO/03,BOTANICA AMBIENTALE E SOSTENIBILITA' DELLE PRODUZIONI AGROALIMENTARI,Eva Delvico,https://corsidilaurea.uniroma1.it/user/9589,82668,810477,,,,,,,,
uniroma1,,BIO/01,BIODIVERSITA' ALIMENTARI ED ECOLOGIA,Gianluca Polgar,https://www.uniroma1.it/user/12621,82802,1138138,,,,,,,,
uniroma1,,BIO/02,BOTANICA SISTEMATICA,Duilio Iamonico,https://www.uniroma1.it/user/8617,82927,1145703,,,,,,,,
unibo,,BIO/02,LABORATORIO DI BIODIVERSITA' ED EVOLUZIONE DELLE PIANTE E DEGLI ORGANISMI FOTOAUTOTROFI,Marco Cantonati,https://www.unibo.it/sitoweb/marco.cantonati,83178,1170966,,,,,,,,
unibo,,BIO/03,GESTIONE E CONSERVAZIONE DELLA VEGETAZIONE,Riccardo Testolin,https://www.unibo.it/sitoweb/riccardo.testolin,83185,1171283,,,,,,,,
unipv,,BIO/03,ECOLOGIA VEGETALE,Corli Anna,https://unipv.coursecatalogue.cineca.it/docente/8323/2024,83367,1052364,,,,,,,,
unipv,,BIO/03,CARBON SEQUESTRATION AND THE CONTRIBUTION OF THE AGRI-FOOD SECTOR,Succurro Antonella,https://unipv.coursecatalogue.cineca.it/docente/9266/2023,83454,853088,,,,,,,,
unipv,,BIO/03,"CONSERVATION AND USE OF BIODIVERSITY, FROM GENES TO LANDSCAPES",Müller Jonas Valentin,https://unipv.coursecatalogue.cineca.it/docente/9044/2023,83455,853090,,,,,,,,
unipv,,BIO/03,SEED ECOLOGY AND USE,Hay Fiona Ruth,https://unipv.coursecatalogue.cineca.it/docente/9338/2023,83456,853105,,,,,,,,
uniroma3,,BIO/02,ECOCITOTOSSICOLOGIA,Cesarini Giulia,,84234,875529,,,,,,,,
uniroma3,,BIO/03,TECNICHE CARTOGRAFICHE E GIS NELLE APPLICAZIONI ECOLOGICHE,Giulio Silvia,,84237,875546,,,,,,,,
unito,,BIO/03,BOTANICA AMBIENTALE E APPLICATA ALL'AMBIENTE MONTANO,Martino Adamo,https://www.montes.unito.it/do/docenti.pl/Show?_id=madamo,84411,882262,,,,,,,,
unipa,,BIO/03,MORFOLOGIA E FISIOLOGIA VEGETALE,Giulia Mirabile,https://www.unipa.it/persona.html?id=107086&lang=it,84739,896655,,,,,,,,
unipa,,BIO/03,BOTANICA APPLICATA ED ELEMENTI DI FISIOLOGIA VEGETALE,Giulio Barone,https://www.unipa.it/persona.html?id=16206&lang=it,84747,1199892,,,,,,,,
unibs,,BIO/03,BIOLOGIA E BIODIVERSITA' VEGETALE ED ANIMALE,Contardo Tania,https://unibs.coursecatalogue.cineca.it/docente/078148/2024,85001,1120289,,,,,,,,
univr,,BIO/01,BIOLOGIA VEGETALE E BOTANICA FARMACEUTICA,Mauro Commisso,https://www.dbt.univr.it/?ent=persona&id=8291&lang=it,85183,1114433,,,,,,,,
units,,BIO/01,BOTANICA GENERALE CON LABORATORIO,Candotto Carniel Fabio,https://units.coursecatalogue.cineca.it/docente/1000000227/2024,85346,1204679,,,,,,,,
uniss,,BIO/02,BIOLOGIA VEGETALE,Albani Diego Maria,https://uniss.coursecatalogue.cineca.it/docente/1046/2024,85890,1153364,,,,,,,,
